Адрес на 30.08.2021;Широта;Долгота;;;
Ленинградский просп., напротив д.68, в центр (выезд из Волоколамского тоннеля), г. Москва;55.802921;37.522291;;;
ул.Косыгина, вл.29, от Мичуринского пр-та, г. Москва;55.710471;37.539083;;;
Северо-Восточная хорда, д. 8, с.1 по Окружному проезду, к ш. Энтузиастов, г. Москва;55.794606;37.746737;;;
Варшавское ш., д.85, к.1, в центр, г. Москва;55.655629;37.619675;;;
ул.Косыгина, д.32, МГТ № 194, к Мосфильмовской улице, г. Москва;55.720548;37.535458;;;
ул.Красная Пресня, напротив д. 31, в центр, г. Москва;55.762952;37.562591;;;
Бережковская наб., д.12, из центра, г. Москва;55.738005;37.565362;;;
Бережковская наб., напротив д. 22, МГО № 25, в центр, г. Москва;55.730992;37.552203;;;
ул.Садовая-Спасская, д.19, к.1, внешняя сторона, г. Москва;55.76947;37.647357;;;
Северо-Западный (Серебряноборский) тоннель, д.17, с.4 по ул. Крылатской, в центр, г. Москва;55.772267;37.419254;;;
Маршала Жукова просп., напротив д. 23 по ул. Маршала Прошлякова, в центр, г. Москва;55.788045;37.381095;;;
ул.Масловка Нижн., д.9, г. Москва;55.791432;37.576649;;;
МКАД, 66км 970м, Г-опора, внутренняя сторона, г. Москва;55.827755;37.394387;;;
МКАД, 84км 770м, внешняя сторона, Г-опора, г. Москва;55.908424;37.594383;;;
МКАД, 60км 700м, Г-опора, внутренняя сторона, г. Москва;55.773453;37.369797;;;
МКАД, 103 км 375 м, П-опора, внутренняя сторона, г. Москва;55.821695;37.836933;;;
МКАД, 33 км 630 м, П-опора, внешняя сторона, г. Москва;55.578142;37.584605;;;
Каширское ш., вл.106А, г. Москва;55.611331;37.71695;;;
Буденного просп., д.51, к.6, г. Москва;55.759025;37.738748;;;
Волоколамское ш., д. 4, к. 1 по 1-му Красногорскому проезду, из центра, г. Москва;55.810997;37.485558;;;
ул.Академическая Б., Алабяно-Балтийский тоннель, д.25/2 по ул.Космонавта Волкова, г. Москва;55.819774;37.524523;;;
МКАД, 69 км 750 м, Г-опора, внешняя сторона, г. Москва;55.852518;37.393928;;;
МКАД, 73 км, Г-опора, внешняя сторона, г. Москва;55.87512;37.423277;;;
МКАД, 58км 950м, внутренняя сторона, П-опора, г. Москва;55.757784;37.369333;;;
Северо-Восточная хорда, вл.2, стр. 1 по аллее Пролетарского Входа, к Щелковскому ш., г. Москва;55.76761;37.74746;;;
МКАД, 69км 300м, внешняя сторона, МГО № 9, г. Москва;55.84846;37.391842;;;
МКАД, 12 км 100 м, П-опора, внешняя сторона, г. Москва;55.671075;37.836801;;;
МКАД, 1 км 865 м, П-опора, внешняя сторона, г. Москва;55.762145;37.843086;;;
МКАД, 76 км 420 м, П-опора, внутренняя сторона, г. Москва;55.884383;37.47217;;;
ул.Конюшковская, напротив д. 26, г. Москва;55.758399;37.578471;;;
МКАД, 92 км 650 м, П-опора, внутренняя сторона, г. Москва;55.88862;37.713406;;;
МКАД, 85 км 50 м, П-опора, внешняя сторона, г. Москва;55.907204;37.598648;;;
МКАД, 84 км 540 м, Г-опора, внешняя сторона, г. Москва;55.909331;37.591226;;;
Маршала Жукова просп.,съезд на улицу Крылатская, из центра, г. Москва;55.772573;37.423255;;;
МКАД, 77 км 900 м, П-опора, внешняя сторона, г. Москва;55.891429;37.494656;;;
МКАД, 107 км 500 м, П-опора, внутренняя сторона, г. Москва;55.785746;37.841583;;;
МКАД, 105 км 530 м, П-опора, внутренняя сторона, г. Москва;55.802835;37.839687;;;
МКАД, 65 км 280 м, напротив МГО №123, внешняя сторона, г. Москва;55.812613;37.389325;;;
МКАД, 6 км 50 м, П-опора, внешняя сторона, г. Москва;55.725595;37.839965;;;
МКАД, 3 км 820 м, Г-опора, внешняя сторона, г. Москва;55.742773;37.842119;;;
МКАД, 60 км 500 м, П-опора, внутренняя сторона, г. Москва;55.771488;37.369692;;;
МКАД, 25-й км, внутренняя сторона, съезд с Каширского ш., МГО № 042, г. Москва;55.588909;37.721661;;;
МКАД, 20км 170 м, П-опора, внешняя сторона, г. Москва;55.613049;37.774109;;;
МКАД, 73 км 265 м, напротив МГО №378, внутренняя сторона, г. Москва;55.876011;37.426863;;;
ул.Моховая, д.15/1, г. Москва;55.756321;37.614136;;;
ТТК, внешняя сторона, Беговая ул., д. 5, МГО № 0515, г. Москва;55.77687;37.555446;;;
